questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,text,A shopkeeper marks the price of an article at 25% above its cost price and then offers a discount of 20% on the marked price. What is the profit or loss percentage on the cost price?,,55,,,,2,,5% loss,"No profit, no loss",5% profit,1% profit,,arithmetic/percentage,0
mcsc,text,A trader buys an item for Rs. 480 and sells it for Rs. 600. What is the profit percentage?,,50,,,,1,,25%,20%,30%,15%,,arithmetic/profit-loss,0
mcsc,text,"The ratio of the ages of A and B is 3:5. If B is 10 years older than A, what is the age of A (in years)?",,50,,,,4,,10,25,20,15,,arithmetic/ratio-proportion,0
mcsc,text,"A sum of Rs. 5,000 is invested at simple interest at a rate of 8% per annum. What is the interest earned at the end of 3 years?",,45,,,,2,,"Rs. 1,000","Rs. 1,200","Rs. 1,500","Rs. 1,800",,arithmetic/simple-interest,0
mcsc,text,Which of the following numbers is divisible by both 6 and 7?,,55,,,,4,,96,108,120,84,,number-theory/divisibility,0
mcsc,text,"In triangle PQR, angle P = 50 degrees and angle Q = 70 degrees. What is the measure of angle R?",,40,,,,4,,50 degrees,80 degrees,70 degrees,60 degrees,,geometry/triangles,0
mcsc,text,"If 3x + 7 = 22, what is the value of 2x - 1?",,45,,,,3,,5,7,9,11,,algebra/linear-equations,0
mcsc,text,"A bag contains 4 red balls and 6 blue balls. If one ball is drawn at random, what is the probability that it is red?",,40,,,,1,,2/5,3/5,4/9,1/4,,probability/basic,0
mcsc,text,"What is the next number in the series: 3, 7, 13, 21, 31, ?",,55,,,,3,,39,41,43,45,,logical-reasoning/series,0
mcsc,text,"A bookstore recorded the following monthly sales: January: 120, February: 150, March: 90, April: 180 books. What is the average number of books sold per month?",,50,,,,1,,135,130,120,140,,data-interpretation/bar-chart,0
mcsc,text,"A principal of Rs. 10,000 is invested at a compound interest rate of 10% per annum. What is the total amount (principal + interest) at the end of 2 years?",,120,,,,4,,"Rs. 11,000","Rs. 12,000","Rs. 12,200","Rs. 12,100",,arithmetic/compound-interest,0.5
mcsc,text,"Worker A can complete a job in 12 days, and Worker B can complete the same job in 18 days. Working together, in how many days can they complete the job?",,130,,,,4,,6 days,7 days,8 days,7.2 days,,arithmetic/time-work,0.5
mcsc,text,A train travels from Station X to Station Y at a speed of 60 km/h and returns at a speed of 90 km/h. What is the average speed for the entire journey?,,130,,,,2,,73 km/h,72 km/h,75 km/h,78 km/h,,arithmetic/time-speed-distance,0.5
mcsc,text,A container holds 40 litres of a solution that is 25% alcohol. How many litres of pure alcohol must be added to make the solution 40% alcohol?,,150,,,,1,,10 litres,8 litres,12 litres,15 litres,,arithmetic/mixtures,0.5
mcsc,text,What is the remainder when 7^52 is divided by 6?,,110,,,,2,,0,1,3,5,,number-theory/remainders,0.5
