section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-SET1,1,mcsc,markdown,"## Comprehension

#### Question No.1 to Question No.4 are based on the following passage
### Read the passage and answer the folowing question.

For decades, scientists believed that sleep's primary function was to give the body and brain a chance to rest and recover. However, recent research suggests that sleep plays a far more active role in learning and memory than previously thought. During sleep, particularly during deep sleep and REM (rapid eye movement) phases, the brain doesn't simply switch off – it reorganizes and consolidates memories from the day.

Researchers at the University of California, led by Dr. Matthew Walker, have found that sleep acts like a ""save button"" for memories. ""When we learn something new during the day, that memory is initially stored in the hippocampus, which has limited storage capacity,"" explains Walker. ""During sleep, these memories are transferred to the cortex, which has much larger storage capacity. It's like moving files from your computer's RAM to its hard drive.""

This process, called memory consolidation, doesn't just preserve memories – it actually strengthens and reorganizes them. Studies have shown that people who sleep after learning perform significantly better on memory tests than those who stay awake. Even more surprisingly, sleep seems to extract patterns and rules from the information we've learned, allowing us to gain insights that weren't obvious when we were awake. This phenomenon, sometimes called ""sleep on it"" wisdom, may explain why problems that seem unsolvable at night often have obvious solutions in the morning.

The implications extend beyond individual learning. Some researchers now believe that chronic sleep deprivation in modern society may be contributing to widespread learning difficulties and even to the rising rates of dementia in aging populations. ""When you deprive the brain of sleep, you're essentially short-circuiting this memory consolidation process,"" says Dr. Susanne Diekelmann of the University of Tübingen in Germany. ""It's like trying to save a document on a computer but never clicking the save button – the work you've done simply disappears.""

However, not all memories benefit equally from sleep. Emotional memories, particularly those associated with strong feelings, appear to be preferentially consolidated during sleep. This selective strengthening may have evolutionary advantages – remembering emotionally significant events could be more important for survival than remembering mundane details. But it also means that sleep deprivation might disproportionately affect our ability to process and cope with emotional experiences.

The analogy of sleep as a ""save button"" is helpful, but it's not perfect. Unlike a computer save operation, sleep doesn't just preserve memories unchanged – it actively transforms them, integrating new information with existing knowledge and sometimes even distorting memories in the process. ""Sleep is more like an editor than a filing clerk,"" notes Walker. ""It doesn't just store memories; it rewrites them.""

**""Sleep is more like an editor than a filing clerk"". What is the primary purpose of this comparison?**",,100,,,,2,,"To suggest that sleep sometimes creates false memories by editing our experiences, just as an editor might change the meaning of a text.","To emphasize that sleep actively transforms and integrates memories rather than simply storing them unchanged, unlike a passive filing system.","To argue that sleep is unreliable for memory consolidation because editors make mistakes, whereas filing clerks preserve information accurately.","To illustrate that sleep organizes memories into categories, similar to how a filing clerk would organize documents into folders.",,,VARC/Verbal Ability,0
VARC,VARC-SET1,2,mcsc,markdown,"## Comprehension
#### Question No.1 to Question No.4 are based on the following passage
### Read the passage and answer the folowing question.

For decades, scientists believed that sleep's primary function was to give the body and brain a chance to rest and recover. However, recent research suggests that sleep plays a far more active role in learning and memory than previously thought. During sleep, particularly during deep sleep and REM (rapid eye movement) phases, the brain doesn't simply switch off – it reorganizes and consolidates memories from the day.

Researchers at the University of California, led by Dr. Matthew Walker, have found that sleep acts like a ""save button"" for memories. ""When we learn something new during the day, that memory is initially stored in the hippocampus, which has limited storage capacity,"" explains Walker. ""During sleep, these memories are transferred to the cortex, which has much larger storage capacity. It's like moving files from your computer's RAM to its hard drive.""

This process, called memory consolidation, doesn't just preserve memories – it actually strengthens and reorganizes them. Studies have shown that people who sleep after learning perform significantly better on memory tests than those who stay awake. Even more surprisingly, sleep seems to extract patterns and rules from the information we've learned, allowing us to gain insights that weren't obvious when we were awake. This phenomenon, sometimes called ""sleep on it"" wisdom, may explain why problems that seem unsolvable at night often have obvious solutions in the morning.

The implications extend beyond individual learning. Some researchers now believe that chronic sleep deprivation in modern society may be contributing to widespread learning difficulties and even to the rising rates of dementia in aging populations. ""When you deprive the brain of sleep, you're essentially short-circuiting this memory consolidation process,"" says Dr. Susanne Diekelmann of the University of Tübingen in Germany. ""It's like trying to save a document on a computer but never clicking the save button – the work you've done simply disappears.""

However, not all memories benefit equally from sleep. Emotional memories, particularly those associated with strong feelings, appear to be preferentially consolidated during sleep. This selective strengthening may have evolutionary advantages – remembering emotionally significant events could be more important for survival than remembering mundane details. But it also means that sleep deprivation might disproportionately affect our ability to process and cope with emotional experiences.

The analogy of sleep as a ""save button"" is helpful, but it's not perfect. Unlike a computer save operation, sleep doesn't just preserve memories unchanged – it actively transforms them, integrating new information with existing knowledge and sometimes even distorting memories in the process. ""Sleep is more like an editor than a filing clerk,"" notes Walker. ""It doesn't just store memories; it rewrites them.""

**The author makes all of the following arguments in the passage, EXCEPT that:**",,100,,,,4,,"Sleep transfers memories from the hippocampus to the cortex, increasing overall storage capacity.",People who sleep after learning perform better on memory tests than those who remain awake.,Chronic sleep deprivation may contribute to learning difficulties and increased dementia rates.,All types of memories are consolidated equally during sleep regardless of their emotional significance.,,,VARC/Verbal Ability,0
VARC,VARC-SET1,3,mcsc,markdown,"## Comprehension
#### Question No.1 to Question No.4 are based on the following passage
### Read the passage and answer the folowing question.

For decades, scientists believed that sleep's primary function was to give the body and brain a chance to rest and recover. However, recent research suggests that sleep plays a far more active role in learning and memory than previously thought. During sleep, particularly during deep sleep and REM (rapid eye movement) phases, the brain doesn't simply switch off – it reorganizes and consolidates memories from the day.

Researchers at the University of California, led by Dr. Matthew Walker, have found that sleep acts like a ""save button"" for memories. ""When we learn something new during the day, that memory is initially stored in the hippocampus, which has limited storage capacity,"" explains Walker. ""During sleep, these memories are transferred to the cortex, which has much larger storage capacity. It's like moving files from your computer's RAM to its hard drive.""

This process, called memory consolidation, doesn't just preserve memories – it actually strengthens and reorganizes them. Studies have shown that people who sleep after learning perform significantly better on memory tests than those who stay awake. Even more surprisingly, sleep seems to extract patterns and rules from the information we've learned, allowing us to gain insights that weren't obvious when we were awake. This phenomenon, sometimes called ""sleep on it"" wisdom, may explain why problems that seem unsolvable at night often have obvious solutions in the morning.

The implications extend beyond individual learning. Some researchers now believe that chronic sleep deprivation in modern society may be contributing to widespread learning difficulties and even to the rising rates of dementia in aging populations. ""When you deprive the brain of sleep, you're essentially short-circuiting this memory consolidation process,"" says Dr. Susanne Diekelmann of the University of Tübingen in Germany. ""It's like trying to save a document on a computer but never clicking the save button – the work you've done simply disappears.""

However, not all memories benefit equally from sleep. Emotional memories, particularly those associated with strong feelings, appear to be preferentially consolidated during sleep. This selective strengthening may have evolutionary advantages – remembering emotionally significant events could be more important for survival than remembering mundane details. But it also means that sleep deprivation might disproportionately affect our ability to process and cope with emotional experiences.

The analogy of sleep as a ""save button"" is helpful, but it's not perfect. Unlike a computer save operation, sleep doesn't just preserve memories unchanged – it actively transforms them, integrating new information with existing knowledge and sometimes even distorting memories in the process. ""Sleep is more like an editor than a filing clerk,"" notes Walker. ""It doesn't just store memories; it rewrites them.""

**Which one of the following statements best summarizes the central point of the passage?**",,100,,,,3,,"Sleep is essential for physical rest and recovery, and without adequate sleep, the body cannot function properly.","The hippocampus has limited storage capacity compared to the cortex, which is why memory transfer during sleep is necessary.","Sleep plays an active role in memory consolidation, strengthening and reorganizing memories rather than simply preserving them.","Emotional memories are more important for survival than mundane memories, which is why they are preferentially consolidated during sleep.",,,VARC/Verbal Ability,0
VARC,VARC-SET1,4,mcsc,markdown,"## Comprehension
#### Question No.1 to Question No.4 are based on the following passage
### Read the passage and answer the folowing question.

For decades, scientists believed that sleep's primary function was to give the body and brain a chance to rest and recover. However, recent research suggests that sleep plays a far more active role in learning and memory than previously thought. During sleep, particularly during deep sleep and REM (rapid eye movement) phases, the brain doesn't simply switch off – it reorganizes and consolidates memories from the day.

Researchers at the University of California, led by Dr. Matthew Walker, have found that sleep acts like a ""save button"" for memories. ""When we learn something new during the day, that memory is initially stored in the hippocampus, which has limited storage capacity,"" explains Walker. ""During sleep, these memories are transferred to the cortex, which has much larger storage capacity. It's like moving files from your computer's RAM to its hard drive.""

This process, called memory consolidation, doesn't just preserve memories – it actually strengthens and reorganizes them. Studies have shown that people who sleep after learning perform significantly better on memory tests than those who stay awake. Even more surprisingly, sleep seems to extract patterns and rules from the information we've learned, allowing us to gain insights that weren't obvious when we were awake. This phenomenon, sometimes called ""sleep on it"" wisdom, may explain why problems that seem unsolvable at night often have obvious solutions in the morning.

The implications extend beyond individual learning. Some researchers now believe that chronic sleep deprivation in modern society may be contributing to widespread learning difficulties and even to the rising rates of dementia in aging populations. ""When you deprive the brain of sleep, you're essentially short-circuiting this memory consolidation process,"" says Dr. Susanne Diekelmann of the University of Tübingen in Germany. ""It's like trying to save a document on a computer but never clicking the save button – the work you've done simply disappears.""

However, not all memories benefit equally from sleep. Emotional memories, particularly those associated with strong feelings, appear to be preferentially consolidated during sleep. This selective strengthening may have evolutionary advantages – remembering emotionally significant events could be more important for survival than remembering mundane details. But it also means that sleep deprivation might disproportionately affect our ability to process and cope with emotional experiences.

The analogy of sleep as a ""save button"" is helpful, but it's not perfect. Unlike a computer save operation, sleep doesn't just preserve memories unchanged – it actively transforms them, integrating new information with existing knowledge and sometimes even distorting memories in the process. ""Sleep is more like an editor than a filing clerk,"" notes Walker. ""It doesn't just store memories; it rewrites them.""

**None of the following statements can be inferred from the passage EXCEPT that:**",,100,,,,3,,People with chronic insomnia will inevitably develop dementia as they age due to impaired memory consolidation.,"The ""save button"" analogy perfectly captures all aspects of how sleep consolidates memories without any limitations.",Sleep deprivation might have a greater impact on emotional memory processing than on the retention of neutral information.,"During REM sleep, the brain is completely inactive, which allows memories to be transferred from the hippocampus to the cortex.",,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"**DIRECTIONS:** Five jumbled up sentences, related to a topic, are given below. Four of them can be put together to form a coherent paragraph. Identify the odd one out and key in the number of the sentence as your answer:

1. The standard QWERTY keyboard layout was designed in the 1870s for mechanical typewriters.
2. Despite numerous attempts to introduce more efficient layouts, QWERTY remains dominant because of the massive cost of retraining users.
3. The arrangement was intended to prevent the metal arms of frequently used letter combinations from jamming by placing them apart.
4. Many musicians prefer digital keyboards because they offer a wider range of sounds and are more portable than traditional ones.
5. Today, even though we no longer use mechanical typewriters, we continue to use this layout on our computers and smartphones.

(Select the odd sentence number.)",,100,,,,4,,1,2,3,4,5,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"**DIRECTIONS:** Five jumbled up sentences, related to a topic, are given below. Four of them can be put together to form a coherent paragraph. Identify the odd one out and key in the number of the sentence as your answer:

1. Social media algorithms are designed to maximize user engagement by showing content that users are likely to interact with.
2. This creates ""echo chambers"" where people are primarily exposed to views similar to their own, reinforcing existing beliefs.
3. Many experts believe that critical thinking skills should be taught in schools to help students evaluate information sources.
4. As a result, users become less tolerant of opposing viewpoints and political polarization increases.
5. Studies have shown that these echo chambers contribute to the spread of misinformation, as false content often generates strong emotional reactions.

(Select the odd sentence number.)",,100,,,,3,,1,2,3,4,5,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"## DIRECTIONS: Identify the most appropriate summary for the paragraph.

The human microbiome—the collection of trillions of microorganisms living in and on our bodies—plays a far more significant role in human health than previously understood. These microbes, primarily bacteria residing in the gut, perform essential functions including aiding digestion, synthesizing vitamins, and training the immune system. Recent research suggests that disruptions to the microbiome, often caused by antibiotic overuse, poor diet, or excessive hygiene, may be linked to a range of modern health problems including allergies, autoimmune diseases, obesity, and even mental health conditions. The discovery of the gut-brain axis—a bidirectional communication system between the gut microbiome and the brain—has been particularly groundbreaking, suggesting that our microscopic residents may influence our mood, behavior, and cognition.",,100,,,,2,,The human microbiome consists of bacteria that help with digestion and may be linked to various diseases when disrupted.,"The human microbiome, especially gut bacteria, performs vital functions and its disruption may contribute to various health issues including physical and mental conditions, with the gut-brain axis suggesting microbial influence on cognition and mood.","Recent research shows that the human microbiome is important for health, and scientists have discovered a connection between the gut and brain called the gut-brain axis.","The microbiome is a collection of microorganisms that can be damaged by antibiotics and poor diet, leading to allergies, obesity, and autoimmune diseases.",,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"## DIRECTIONS: Identify the most appropriate summary for the paragraph.

Behavioral economics challenges the traditional economic assumption that humans are rational actors who always make decisions that maximize their utility. Drawing on insights from psychology, behavioral economists have demonstrated that people's decisions are often influenced by cognitive biases, emotions, and social factors. For instance, the ""anchoring effect"" shows that individuals rely too heavily on the first piece of information they receive when making decisions. Similarly, ""loss aversion"" demonstrates that people feel the pain of losing something more acutely than the pleasure of gaining something of equal value. These insights have important implications for public policy, as governments can design ""nudges"" that help people make better decisions without restricting their freedom of choice.",,100,,,,3,,"Behavioral economics uses psychological insights to show that human decisions are affected by biases and emotions, which has implications for how governments design policies.",Behavioral economics proves that traditional economic theories are completely wrong because people are irrational and make poor decisions due to cognitive biases.,"Behavioral economics incorporates insights from psychology to demonstrate that people's decisions deviate from rational utility maximization due to cognitive biases, emotions, and social factors, enabling policy interventions through nudges.","Behavioral economics focuses on cognitive biases like anchoring effect and loss aversion, which governments can exploit to manipulate people's choices.",,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"## DIRECTIONS: Identify the most appropriate summary for the paragraph.

The concept of ""herd immunity"" refers to a form of indirect protection from infectious disease that occurs when a sufficient percentage of a population has become immune to an infection, whether through vaccination or previous infections, thereby reducing the likelihood of infection for individuals who lack immunity. In populations where a large number of individuals are immune, chains of infection are likely to be disrupted, which stops or slows the spread of disease. The greater the proportion of individuals in a community who are immune, the smaller the probability that those who are not immune will come into contact with an infectious individual. This collective immunity is particularly important for protecting vulnerable individuals who cannot be vaccinated, such as newborns and people with compromised immune systems.",,100,,,,2,,"Herd immunity is achieved when most people in a population get vaccinated, which helps protect those who cannot receive vaccines.","Herd immunity occurs when enough people become immune through vaccination or infection, disrupting disease transmission and protecting vulnerable populations who lack immunity.",The concept of herd immunity suggests that infectious diseases can be eliminated if everyone in a population receives proper vaccination.,Herd immunity protects newborns and immunocompromised individuals by ensuring that a sufficient number of people have been previously infected.,,,VARC/Verbal Ability,0
VARC,,,mcsc,markdown,"**DIRECTIONS:** The four sentences (labelled 1, 2, 3 and 4) given in this question, when properly sequenced, form a coherent paragraph. Decide on the proper order for the sentences and key in this sequence of four numbers as your answer:

1. When the body doesn't get enough water, it cannot effectively regulate temperature, leading to fatigue and reduced physical performance.
2. Additionally, even mild dehydration can impair cognitive functions such as concentration, alertness, and short-term memory.
3. Water is essential for nearly every bodily function, from regulating temperature to transporting nutrients.
4. This is why athletes are advised to drink water before, during, and after exercise, and why students are encouraged to stay hydrated during exams.

(Choose the correct sequence.)",,100,,,,2,,3124,3214,1342,3142,,,VARC/Verbal Ability,0
