section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-RC1,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When we ask what a poem means, we are tempted to reach for what its author intended it to mean, as though the work were a sealed letter and criticism the act of opening it. The temptation is understandable, since intentions do govern most of what we make and say. Yet a strand of twentieth-century criticism insisted that, once a work is finished and released, the author's private aims cease to be the arbiter of its meaning. On this view the poem is a public object made of language, and language carries implications its user may neither have foreseen nor endorsed. A reader who recovers a documented intention has learned something about the poet's biography, not necessarily something decisive about the poem.

The argument is easy to caricature as a licence for arbitrary reading, but its careful proponents claimed no such thing. They distinguished the meaning of a work from the occasion of its composition, and held that evidence internal to the text, its diction, structure, and the conventions it invokes, constrains interpretation more tightly than any appeal to what the author confided in a letter. Where internal and external evidence agree, the appeal to intention is redundant; where they conflict, it is the text, not the confession, that the critic is professionally bound to honour. Intention, in short, is neither available nor desirable as a final standard of literary judgement.

Critics of this position have replied that meaning without a meaner is incoherent, and that to strip intention from interpretation is to reduce reading to the free play of association. The reply has force against the caricature but less against the original claim, which never denied that someone meant something, only that the someone's report settles the question. A more searching objection notes that the very conventions the text invokes are themselves the sediment of countless past intentions, so that intention returns, collectivised, at the level of the language itself. The debate, then, is less about whether intention matters than about whose intention, and at what remove, a competent reading is obliged to reconstruct.

**The passage is primarily concerned with:**",,250,,,,3,,defending the claim that a reader is free to assign a poem almost any meaning that the language will loosely permit,tracing how twentieth-century literary criticism gradually abandoned nearly all close attention to the words on the page,"presenting a view that denies the author's intention fixes a poem's meaning, and weighing the replies it draws",arguing that an author's stated intention is wholly irrelevant to every form of literary and biographical inquiry,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When we ask what a poem means, we are tempted to reach for what its author intended it to mean, as though the work were a sealed letter and criticism the act of opening it. The temptation is understandable, since intentions do govern most of what we make and say. Yet a strand of twentieth-century criticism insisted that, once a work is finished and released, the author's private aims cease to be the arbiter of its meaning. On this view the poem is a public object made of language, and language carries implications its user may neither have foreseen nor endorsed. A reader who recovers a documented intention has learned something about the poet's biography, not necessarily something decisive about the poem.

The argument is easy to caricature as a licence for arbitrary reading, but its careful proponents claimed no such thing. They distinguished the meaning of a work from the occasion of its composition, and held that evidence internal to the text, its diction, structure, and the conventions it invokes, constrains interpretation more tightly than any appeal to what the author confided in a letter. Where internal and external evidence agree, the appeal to intention is redundant; where they conflict, it is the text, not the confession, that the critic is professionally bound to honour. Intention, in short, is neither available nor desirable as a final standard of literary judgement.

Critics of this position have replied that meaning without a meaner is incoherent, and that to strip intention from interpretation is to reduce reading to the free play of association. The reply has force against the caricature but less against the original claim, which never denied that someone meant something, only that the someone's report settles the question. A more searching objection notes that the very conventions the text invokes are themselves the sediment of countless past intentions, so that intention returns, collectivised, at the level of the language itself. The debate, then, is less about whether intention matters than about whose intention, and at what remove, a competent reading is obliged to reconstruct.

**The careful proponents of the anti-intention view would agree with all of the following EXCEPT:**",,240,,,,3,,The diction and structure of a text limit its readings more tightly than a private confession by its author,"Where internal and external evidence point the same way, invoking the author's intention adds nothing new",A finished poem has no determinate meaning until its author supplies an authoritative gloss on it,Recovering an author's documented intention can still teach us something about that author's biography,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When we ask what a poem means, we are tempted to reach for what its author intended it to mean, as though the work were a sealed letter and criticism the act of opening it. The temptation is understandable, since intentions do govern most of what we make and say. Yet a strand of twentieth-century criticism insisted that, once a work is finished and released, the author's private aims cease to be the arbiter of its meaning. On this view the poem is a public object made of language, and language carries implications its user may neither have foreseen nor endorsed. A reader who recovers a documented intention has learned something about the poet's biography, not necessarily something decisive about the poem.

The argument is easy to caricature as a licence for arbitrary reading, but its careful proponents claimed no such thing. They distinguished the meaning of a work from the occasion of its composition, and held that evidence internal to the text, its diction, structure, and the conventions it invokes, constrains interpretation more tightly than any appeal to what the author confided in a letter. Where internal and external evidence agree, the appeal to intention is redundant; where they conflict, it is the text, not the confession, that the critic is professionally bound to honour. Intention, in short, is neither available nor desirable as a final standard of literary judgement.

Critics of this position have replied that meaning without a meaner is incoherent, and that to strip intention from interpretation is to reduce reading to the free play of association. The reply has force against the caricature but less against the original claim, which never denied that someone meant something, only that the someone's report settles the question. A more searching objection notes that the very conventions the text invokes are themselves the sediment of countless past intentions, so that intention returns, collectivised, at the level of the language itself. The debate, then, is less about whether intention matters than about whose intention, and at what remove, a competent reading is obliged to reconstruct.

**It can be inferred that the 'more searching objection' differs from the simpler reply that precedes it because it:**",,275,,,,4,,abandons the appeal to textual evidence and defends interpretation as the reader's free play of association,denies outright that any individual author ever meant anything determinate by the words chosen for a poem,rests on the premise that a work can carry no meaning at all unless a single mind stands directly behind it,grants the priority given to the text while relocating intention to the conventions the language carries,,,VARC/reading-comprehension,1
VARC,VARC-RC1,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When we ask what a poem means, we are tempted to reach for what its author intended it to mean, as though the work were a sealed letter and criticism the act of opening it. The temptation is understandable, since intentions do govern most of what we make and say. Yet a strand of twentieth-century criticism insisted that, once a work is finished and released, the author's private aims cease to be the arbiter of its meaning. On this view the poem is a public object made of language, and language carries implications its user may neither have foreseen nor endorsed. A reader who recovers a documented intention has learned something about the poet's biography, not necessarily something decisive about the poem.

The argument is easy to caricature as a licence for arbitrary reading, but its careful proponents claimed no such thing. They distinguished the meaning of a work from the occasion of its composition, and held that evidence internal to the text, its diction, structure, and the conventions it invokes, constrains interpretation more tightly than any appeal to what the author confided in a letter. Where internal and external evidence agree, the appeal to intention is redundant; where they conflict, it is the text, not the confession, that the critic is professionally bound to honour. Intention, in short, is neither available nor desirable as a final standard of literary judgement.

Critics of this position have replied that meaning without a meaner is incoherent, and that to strip intention from interpretation is to reduce reading to the free play of association. The reply has force against the caricature but less against the original claim, which never denied that someone meant something, only that the someone's report settles the question. A more searching objection notes that the very conventions the text invokes are themselves the sediment of countless past intentions, so that intention returns, collectivised, at the level of the language itself. The debate, then, is less about whether intention matters than about whose intention, and at what remove, a competent reading is obliged to reconstruct.

**The author calls the appeal to intention 'redundant' when evidence agrees and to be overruled when evidence conflicts chiefly in order to:**",,270,,,,1,,show that on either alignment of the evidence the author's intention does no decisive work,establish the separate point that authors are habitually unreliable witnesses to their own real aims,suggest that external evidence about a work is nearly always misleading and is best set entirely aside,concede that in a narrow range of disputes an author's own stated intention does settle the reading,,,VARC/reading-comprehension,1
VARC,VARC-RC1,5,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When we ask what a poem means, we are tempted to reach for what its author intended it to mean, as though the work were a sealed letter and criticism the act of opening it. The temptation is understandable, since intentions do govern most of what we make and say. Yet a strand of twentieth-century criticism insisted that, once a work is finished and released, the author's private aims cease to be the arbiter of its meaning. On this view the poem is a public object made of language, and language carries implications its user may neither have foreseen nor endorsed. A reader who recovers a documented intention has learned something about the poet's biography, not necessarily something decisive about the poem.

The argument is easy to caricature as a licence for arbitrary reading, but its careful proponents claimed no such thing. They distinguished the meaning of a work from the occasion of its composition, and held that evidence internal to the text, its diction, structure, and the conventions it invokes, constrains interpretation more tightly than any appeal to what the author confided in a letter. Where internal and external evidence agree, the appeal to intention is redundant; where they conflict, it is the text, not the confession, that the critic is professionally bound to honour. Intention, in short, is neither available nor desirable as a final standard of literary judgement.

Critics of this position have replied that meaning without a meaner is incoherent, and that to strip intention from interpretation is to reduce reading to the free play of association. The reply has force against the caricature but less against the original claim, which never denied that someone meant something, only that the someone's report settles the question. A more searching objection notes that the very conventions the text invokes are themselves the sediment of countless past intentions, so that intention returns, collectivised, at the level of the language itself. The debate, then, is less about whether intention matters than about whose intention, and at what remove, a competent reading is obliged to reconstruct.

**Which of the following claims about the debate is fully supported by the passage?**",,280,,,,2,,The passage shows that intention of every kind can be dispensed with once a text is complete,"The live question is which intentions, and how far mediated, a competent reading must reconstruct",The critics have demonstrated that the anti-intention view collapses into arbitrary reading,The passage concludes that an individual author's intention proves indispensable to interpretation after all,,,VARC/reading-comprehension,1
VARC,VARC-RC2,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For a generation, the standard verdict on shared resources was pessimistic: where no one owns a pasture, a fishery, or an aquifer, each user has an incentive to take as much as possible before a rival does, and the resource is ruined by the sum of individually rational choices. The remedy seemed to follow with the force of a theorem. Either the state must regulate the resource from above, or it must be carved into private parcels whose owners will husband what they hold. Between the regulator and the auctioneer there appeared to be no third path.

Field research complicated the theorem. In mountain villages, coastal fisheries, and irrigation systems that had endured for centuries, users had neither nationalised nor privatised their commons, yet had not destroyed them either. Instead they had crafted their own rules: who could harvest, when, how much, and what would befall a cheat. These arrangements were neither spontaneous nor costless. They depended on the users being able to monitor one another, to communicate, to revise the rules as conditions changed, and to impose graduated penalties that punished a first offence lightly and a repeated one severely. Where such conditions were absent, the pessimistic prediction often held.

The lesson was not that the original model was false, but that it described one case rather than the general one. The model assumed users who could not talk, could not watch, and could not bind themselves, and for such users the grim conclusion does follow. Real communities are frequently able to do all three, and the capacity to make and enforce local agreements is itself a resource, one that erodes if outsiders, however well intentioned, override it. A government that replaces a working local arrangement with a uniform national rule may extinguish the very monitoring and trust on which restraint depended, and so produce the tragedy it meant to prevent.

**Which of the following best states the central argument of the passage?**",,235,,,,1,,"Communities can sometimes govern shared resources by self-made rules, so the pessimistic model fits a special case",State regulation from above is shown to be the single most dependable remedy for the overuse of any common resource,"Traditional rural communities, unlike modern states, essentially never deplete the natural resources placed in their care",Shared resources are inevitably destroyed unless they are divided up into privately owned parcels by their own users,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For a generation, the standard verdict on shared resources was pessimistic: where no one owns a pasture, a fishery, or an aquifer, each user has an incentive to take as much as possible before a rival does, and the resource is ruined by the sum of individually rational choices. The remedy seemed to follow with the force of a theorem. Either the state must regulate the resource from above, or it must be carved into private parcels whose owners will husband what they hold. Between the regulator and the auctioneer there appeared to be no third path.

Field research complicated the theorem. In mountain villages, coastal fisheries, and irrigation systems that had endured for centuries, users had neither nationalised nor privatised their commons, yet had not destroyed them either. Instead they had crafted their own rules: who could harvest, when, how much, and what would befall a cheat. These arrangements were neither spontaneous nor costless. They depended on the users being able to monitor one another, to communicate, to revise the rules as conditions changed, and to impose graduated penalties that punished a first offence lightly and a repeated one severely. Where such conditions were absent, the pessimistic prediction often held.

The lesson was not that the original model was false, but that it described one case rather than the general one. The model assumed users who could not talk, could not watch, and could not bind themselves, and for such users the grim conclusion does follow. Real communities are frequently able to do all three, and the capacity to make and enforce local agreements is itself a resource, one that erodes if outsiders, however well intentioned, override it. A government that replaces a working local arrangement with a uniform national rule may extinguish the very monitoring and trust on which restraint depended, and so produce the tragedy it meant to prevent.

**The passage credits the durable commons arrangements with all of the following features EXCEPT:**",,225,,,,4,,provisions allowing the governing rules to be revised as surrounding conditions change,penalties that fall lightly on a first offence and grow heavier when the offence is repeated,the ability of users to keep watch on one another and to communicate about the resource,the assignment of a separately owned private parcel of the resource to each individual user,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For a generation, the standard verdict on shared resources was pessimistic: where no one owns a pasture, a fishery, or an aquifer, each user has an incentive to take as much as possible before a rival does, and the resource is ruined by the sum of individually rational choices. The remedy seemed to follow with the force of a theorem. Either the state must regulate the resource from above, or it must be carved into private parcels whose owners will husband what they hold. Between the regulator and the auctioneer there appeared to be no third path.

Field research complicated the theorem. In mountain villages, coastal fisheries, and irrigation systems that had endured for centuries, users had neither nationalised nor privatised their commons, yet had not destroyed them either. Instead they had crafted their own rules: who could harvest, when, how much, and what would befall a cheat. These arrangements were neither spontaneous nor costless. They depended on the users being able to monitor one another, to communicate, to revise the rules as conditions changed, and to impose graduated penalties that punished a first offence lightly and a repeated one severely. Where such conditions were absent, the pessimistic prediction often held.

The lesson was not that the original model was false, but that it described one case rather than the general one. The model assumed users who could not talk, could not watch, and could not bind themselves, and for such users the grim conclusion does follow. Real communities are frequently able to do all three, and the capacity to make and enforce local agreements is itself a resource, one that erodes if outsiders, however well intentioned, override it. A government that replaces a working local arrangement with a uniform national rule may extinguish the very monitoring and trust on which restraint depended, and so produce the tragedy it meant to prevent.

**The author observes that a well-meaning government can 'produce the tragedy it meant to prevent' mainly in order to:**",,268,,,,1,,warn that overriding a working local arrangement can destroy the conditions that sustained restraint,"argue that governments are, almost as a rule, indifferent to whether shared resources survive or collapse",claim that locally made rules are plainly superior to state rules in virtually every respect and setting,show that dividing a resource into private holdings will reliably outperform any centrally imposed public rule,,,VARC/reading-comprehension,1
VARC,VARC-RC2,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For a generation, the standard verdict on shared resources was pessimistic: where no one owns a pasture, a fishery, or an aquifer, each user has an incentive to take as much as possible before a rival does, and the resource is ruined by the sum of individually rational choices. The remedy seemed to follow with the force of a theorem. Either the state must regulate the resource from above, or it must be carved into private parcels whose owners will husband what they hold. Between the regulator and the auctioneer there appeared to be no third path.

Field research complicated the theorem. In mountain villages, coastal fisheries, and irrigation systems that had endured for centuries, users had neither nationalised nor privatised their commons, yet had not destroyed them either. Instead they had crafted their own rules: who could harvest, when, how much, and what would befall a cheat. These arrangements were neither spontaneous nor costless. They depended on the users being able to monitor one another, to communicate, to revise the rules as conditions changed, and to impose graduated penalties that punished a first offence lightly and a repeated one severely. Where such conditions were absent, the pessimistic prediction often held.

The lesson was not that the original model was false, but that it described one case rather than the general one. The model assumed users who could not talk, could not watch, and could not bind themselves, and for such users the grim conclusion does follow. Real communities are frequently able to do all three, and the capacity to make and enforce local agreements is itself a resource, one that erodes if outsiders, however well intentioned, override it. A government that replaces a working local arrangement with a uniform national rule may extinguish the very monitoring and trust on which restraint depended, and so produce the tragedy it meant to prevent.

**The author's stance toward the original pessimistic model is best described as:**",,272,,,,4,,full endorsement of it as a fixed law that governs shared resources in every setting,"studied indifference, on the ground that the model's assumptions are said to be untestable",outright rejection of it as an account that field evidence has now proved plainly false,"qualified acceptance, treating it as accurate for a restricted range of conditions",,,VARC/reading-comprehension,1
VARC,VARC-ODD-1,1,mcsc,markdown,"Five sentences are given below. Four of them combine to form a single coherent paragraph; one does not belong. Read the sentences and identify the misfit.

(1) A tidal wetland acts as a natural buffer, absorbing the energy of incoming storm surges before they reach inland settlements.
(2) Its dense mat of roots binds loose sediment, so the shoreline erodes far more slowly than an unvegetated coast would.
(3) The same roots filter runoff, trapping pollutants that would otherwise flow straight into open water.
(4) Because of these functions, planners increasingly treat wetlands as infrastructure rather than as idle land.
(5) Modern desalination plants can convert seawater into drinking water at a steadily falling cost per litre.

**Which sentence is the odd one out?**",,150,,,,3,,(3),(4),(5),(2),(1),,VARC/odd-one-out,0.5
