section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-RC1,1,mcsc,markdown,"For most of the twentieth century, film was treated as a disposable commodity rather than a cultural inheritance. Studios routinely melted down old prints to recover the silver in their emulsion, and the nitrate stock on which early cinema was shot decayed, caught fire, or was simply discarded once a film had finished its commercial run. By some estimates, the majority of movies made before 1930 no longer survive in any form. It was only in the latter half of the century, as scholars began to treat cinema as an art with a history worth preserving, that systematic archiving took hold.

Modern restoration is a painstaking and expensive craft. Technicians scan surviving prints frame by frame, then labour to remove scratches, correct faded colour, and reconstruct missing sequences from whatever fragments can be located in archives around the world. The goal, most restorers insist, is not to improve on the original but to return it as closely as possible to the state its makers intended. This principle is more contentious than it sounds. When a director's intentions were never documented, or when the only surviving print differs from the version audiences first saw, the restorer must make interpretive choices that shade into authorship.

Digital tools have made these choices sharper. Software can now invent plausible detail where none survives, smoothing a film into something crisper than any print ever looked. Purists warn that such enhancement risks producing a counterfeit, a version that never existed and that misleads viewers about how the film was actually experienced. Others counter that a pristine reconstruction, honestly labelled, does more to keep a film alive than a faithful copy no one will watch. The debate turns, ultimately, on whether preservation means guarding an object or sustaining an experience.

**According to the passage, all of the following contributed to the loss of early films EXCEPT:**",,240,,,,3,,the discarding of prints once a film's commercial run had ended,the natural decay and flammability of the nitrate film stock,the transfer of prints to public archives for safekeeping,the melting of prints to recover silver from their emulsion,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,2,mcsc,markdown,"For most of the twentieth century, film was treated as a disposable commodity rather than a cultural inheritance. Studios routinely melted down old prints to recover the silver in their emulsion, and the nitrate stock on which early cinema was shot decayed, caught fire, or was simply discarded once a film had finished its commercial run. By some estimates, the majority of movies made before 1930 no longer survive in any form. It was only in the latter half of the century, as scholars began to treat cinema as an art with a history worth preserving, that systematic archiving took hold.

Modern restoration is a painstaking and expensive craft. Technicians scan surviving prints frame by frame, then labour to remove scratches, correct faded colour, and reconstruct missing sequences from whatever fragments can be located in archives around the world. The goal, most restorers insist, is not to improve on the original but to return it as closely as possible to the state its makers intended. This principle is more contentious than it sounds. When a director's intentions were never documented, or when the only surviving print differs from the version audiences first saw, the restorer must make interpretive choices that shade into authorship.

Digital tools have made these choices sharper. Software can now invent plausible detail where none survives, smoothing a film into something crisper than any print ever looked. Purists warn that such enhancement risks producing a counterfeit, a version that never existed and that misleads viewers about how the film was actually experienced. Others counter that a pristine reconstruction, honestly labelled, does more to keep a film alive than a faithful copy no one will watch. The debate turns, ultimately, on whether preservation means guarding an object or sustaining an experience.

**Which of the following best expresses the central idea of the passage?**",,260,,,,4,,Digital software has at last resolved the technical problems that plagued restoration.,Restoring a film is mainly a matter of erasing scratches and correcting faded colour.,Early studios were uniquely careless custodians compared with the keepers of other arts.,Film preservation forces hard choices between fidelity and keeping works watchable.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,3,mcsc,markdown,"For most of the twentieth century, film was treated as a disposable commodity rather than a cultural inheritance. Studios routinely melted down old prints to recover the silver in their emulsion, and the nitrate stock on which early cinema was shot decayed, caught fire, or was simply discarded once a film had finished its commercial run. By some estimates, the majority of movies made before 1930 no longer survive in any form. It was only in the latter half of the century, as scholars began to treat cinema as an art with a history worth preserving, that systematic archiving took hold.

Modern restoration is a painstaking and expensive craft. Technicians scan surviving prints frame by frame, then labour to remove scratches, correct faded colour, and reconstruct missing sequences from whatever fragments can be located in archives around the world. The goal, most restorers insist, is not to improve on the original but to return it as closely as possible to the state its makers intended. This principle is more contentious than it sounds. When a director's intentions were never documented, or when the only surviving print differs from the version audiences first saw, the restorer must make interpretive choices that shade into authorship.

Digital tools have made these choices sharper. Software can now invent plausible detail where none survives, smoothing a film into something crisper than any print ever looked. Purists warn that such enhancement risks producing a counterfeit, a version that never existed and that misleads viewers about how the film was actually experienced. Others counter that a pristine reconstruction, honestly labelled, does more to keep a film alive than a faithful copy no one will watch. The debate turns, ultimately, on whether preservation means guarding an object or sustaining an experience.

**It can most reasonably be inferred that the author regards digital enhancement as:**",,330,,,,2,,an unqualified advance that every serious film archive should now adopt,a powerful tool whose benefits depend on how honestly it is used,a passing fashion likely to be abandoned by future restorers,a fraud that responsible restorers ought to refuse to use outright,,,VARC/reading-comprehension,1
VARC,VARC-RC1,4,mcsc,markdown,"For most of the twentieth century, film was treated as a disposable commodity rather than a cultural inheritance. Studios routinely melted down old prints to recover the silver in their emulsion, and the nitrate stock on which early cinema was shot decayed, caught fire, or was simply discarded once a film had finished its commercial run. By some estimates, the majority of movies made before 1930 no longer survive in any form. It was only in the latter half of the century, as scholars began to treat cinema as an art with a history worth preserving, that systematic archiving took hold.

Modern restoration is a painstaking and expensive craft. Technicians scan surviving prints frame by frame, then labour to remove scratches, correct faded colour, and reconstruct missing sequences from whatever fragments can be located in archives around the world. The goal, most restorers insist, is not to improve on the original but to return it as closely as possible to the state its makers intended. This principle is more contentious than it sounds. When a director's intentions were never documented, or when the only surviving print differs from the version audiences first saw, the restorer must make interpretive choices that shade into authorship.

Digital tools have made these choices sharper. Software can now invent plausible detail where none survives, smoothing a film into something crisper than any print ever looked. Purists warn that such enhancement risks producing a counterfeit, a version that never existed and that misleads viewers about how the film was actually experienced. Others counter that a pristine reconstruction, honestly labelled, does more to keep a film alive than a faithful copy no one will watch. The debate turns, ultimately, on whether preservation means guarding an object or sustaining an experience.

**The author's treatment of the restoration debate is best described as:**",,320,,,,2,,"dismissive, treating the whole controversy as a distraction from real work","even-handed, laying out competing positions without endorsing either side","nostalgic, mourning a lost golden age of craftsmanship now gone for good","alarmed, warning that digital tools are destroying our cinematic heritage",,,VARC/reading-comprehension,1
VARC,VARC-RC2,1,mcsc,markdown,"When streaming platforms overtook physical sales as the music industry's main source of revenue, they were hailed as the cure for piracy. Listeners who had grown used to downloading songs for free could now reach almost every recording ever made for a modest monthly fee, and the money, in theory, would flow back to the artists who made the music. A decade on, that promise looks more complicated. The industry's overall revenues have indeed recovered, but the way streaming distributes those revenues has provoked lasting resentment among the musicians it was meant to reward.

The core of the problem lies in how platforms pool and divide their subscription income. Rather than paying each listener's fee to the specific artists that listener actually plays, most services add all subscriptions into a single pot and share it out in proportion to each artist's share of total streams across the whole platform. Under this model, a handful of chart-topping performers capture the overwhelming majority of the pool, while the long tail of niche and emerging artists receives fractions of a cent per play. A musician with a devoted but small audience may find that their most loyal fans effectively subsidise stars those fans never listen to.

Reformers have proposed a user-centric model, in which each subscriber's fee is divided only among the artists that subscriber streams. Studies suggest this would modestly benefit smaller acts without greatly harming the biggest names. Yet the major labels, whose catalogues dominate the charts, have little incentive to champion a change that would trim their advantage, and the platforms are wary of the accounting complexity it would introduce. The technology that made abundance possible, it turns out, did nothing to settle the older question of how fairly its rewards should be shared.

**According to the passage, how do most streaming services currently divide subscription income?**",,240,,,,1,,They pool all fees and split them by each artist's share of total plays,They pay each subscriber's fee only to the artists that subscriber streams,They divide the income equally among every artist available on the service,They award fixed monthly sums to artists based on their chart positions,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,2,mcsc,markdown,"When streaming platforms overtook physical sales as the music industry's main source of revenue, they were hailed as the cure for piracy. Listeners who had grown used to downloading songs for free could now reach almost every recording ever made for a modest monthly fee, and the money, in theory, would flow back to the artists who made the music. A decade on, that promise looks more complicated. The industry's overall revenues have indeed recovered, but the way streaming distributes those revenues has provoked lasting resentment among the musicians it was meant to reward.

The core of the problem lies in how platforms pool and divide their subscription income. Rather than paying each listener's fee to the specific artists that listener actually plays, most services add all subscriptions into a single pot and share it out in proportion to each artist's share of total streams across the whole platform. Under this model, a handful of chart-topping performers capture the overwhelming majority of the pool, while the long tail of niche and emerging artists receives fractions of a cent per play. A musician with a devoted but small audience may find that their most loyal fans effectively subsidise stars those fans never listen to.

Reformers have proposed a user-centric model, in which each subscriber's fee is divided only among the artists that subscriber streams. Studies suggest this would modestly benefit smaller acts without greatly harming the biggest names. Yet the major labels, whose catalogues dominate the charts, have little incentive to champion a change that would trim their advantage, and the platforms are wary of the accounting complexity it would introduce. The technology that made abundance possible, it turns out, did nothing to settle the older question of how fairly its rewards should be shared.

**The passage is primarily concerned with:**",,260,,,,3,,how the major record labels came to dominate the singles charts over time,why listeners now prefer a monthly fee to buying physical recordings,how streaming revives revenue yet shares it unfairly among artists,why streaming has failed to end the piracy of recorded popular music,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,3,mcsc,markdown,"When streaming platforms overtook physical sales as the music industry's main source of revenue, they were hailed as the cure for piracy. Listeners who had grown used to downloading songs for free could now reach almost every recording ever made for a modest monthly fee, and the money, in theory, would flow back to the artists who made the music. A decade on, that promise looks more complicated. The industry's overall revenues have indeed recovered, but the way streaming distributes those revenues has provoked lasting resentment among the musicians it was meant to reward.

The core of the problem lies in how platforms pool and divide their subscription income. Rather than paying each listener's fee to the specific artists that listener actually plays, most services add all subscriptions into a single pot and share it out in proportion to each artist's share of total streams across the whole platform. Under this model, a handful of chart-topping performers capture the overwhelming majority of the pool, while the long tail of niche and emerging artists receives fractions of a cent per play. A musician with a devoted but small audience may find that their most loyal fans effectively subsidise stars those fans never listen to.

Reformers have proposed a user-centric model, in which each subscriber's fee is divided only among the artists that subscriber streams. Studies suggest this would modestly benefit smaller acts without greatly harming the biggest names. Yet the major labels, whose catalogues dominate the charts, have little incentive to champion a change that would trim their advantage, and the platforms are wary of the accounting complexity it would introduce. The technology that made abundance possible, it turns out, did nothing to settle the older question of how fairly its rewards should be shared.

**Which of the following can most reasonably be inferred about the user-centric model?**",,330,,,,2,,It would leave the incomes of small niche artists essentially unchanged,Its adoption is blocked more by competing interests than by weak evidence,It has already been quietly embraced by the largest recording labels,It would sharply reduce the earnings of the most popular chart performers,,,VARC/reading-comprehension,1
VARC,VARC-RC2,4,mcsc,markdown,"When streaming platforms overtook physical sales as the music industry's main source of revenue, they were hailed as the cure for piracy. Listeners who had grown used to downloading songs for free could now reach almost every recording ever made for a modest monthly fee, and the money, in theory, would flow back to the artists who made the music. A decade on, that promise looks more complicated. The industry's overall revenues have indeed recovered, but the way streaming distributes those revenues has provoked lasting resentment among the musicians it was meant to reward.

The core of the problem lies in how platforms pool and divide their subscription income. Rather than paying each listener's fee to the specific artists that listener actually plays, most services add all subscriptions into a single pot and share it out in proportion to each artist's share of total streams across the whole platform. Under this model, a handful of chart-topping performers capture the overwhelming majority of the pool, while the long tail of niche and emerging artists receives fractions of a cent per play. A musician with a devoted but small audience may find that their most loyal fans effectively subsidise stars those fans never listen to.

Reformers have proposed a user-centric model, in which each subscriber's fee is divided only among the artists that subscriber streams. Studies suggest this would modestly benefit smaller acts without greatly harming the biggest names. Yet the major labels, whose catalogues dominate the charts, have little incentive to champion a change that would trim their advantage, and the platforms are wary of the accounting complexity it would introduce. The technology that made abundance possible, it turns out, did nothing to settle the older question of how fairly its rewards should be shared.

**The author's attitude toward the original promise of streaming is best described as:**",,320,,,,1,,"skeptical, noting that recovered revenue masks an unfair distribution","hostile, condemning each streaming platform as a deliberate fraud on artists","indifferent, treating the shift as a routine change in technology","enthusiastic, crediting streaming with rescuing a collapsing industry",,,VARC/reading-comprehension,1
VARC,VARC-RC3,1,mcsc,markdown,"Video games tell stories in a way no older medium can: the audience does not merely watch events unfold but participates in bringing them about. A novelist decides exactly what happens on each page, and a filmmaker fixes every shot in a set order. A game designer, by contrast, must build a world in which the player's own choices help shape the tale. This shift from telling a story to enabling one is the defining challenge of narrative design in games.

The freedom that makes games distinctive also creates a tension. The more genuine control a player is given, the harder it becomes for designers to guarantee a satisfying dramatic shape. A story that can unfold in a thousand ways risks feeling shapeless, while one that funnels every player toward the same ending can make their choices feel like an illusion. Designers speak of this as the conflict between agency, the player's sense that their decisions matter, and authorship, the crafted arc that gives a story its emotional force.

Different games strike the balance differently. Some offer branching plots in which early decisions lead to genuinely distinct conclusions, at the cost of enormous extra writing that most players will never see. Others keep a fixed main storyline but let players colour it with optional side quests and small choices that alter tone rather than outcome. A few abandon authored plot almost entirely, scattering fragments of story through an environment for players to assemble in their own order and at their own pace.

None of these approaches is simply correct. Each trades away something to gain something else, and the right choice depends on what a particular game is trying to make its players feel. What unites them is the recognition that in an interactive medium, the player is never only an audience.

**According to the passage, what most distinguishes video games from novels and films?**",,210,,,,4,,They rely on moving visual images instead of printed words to tell a story,Their plots are fixed in advance by a single author or a single director,The stories they tell are usually longer and more complex than those of films,The audience helps bring about events rather than only witnessing them,,,VARC/reading-comprehension,0
VARC,VARC-RC3,2,mcsc,markdown,"Video games tell stories in a way no older medium can: the audience does not merely watch events unfold but participates in bringing them about. A novelist decides exactly what happens on each page, and a filmmaker fixes every shot in a set order. A game designer, by contrast, must build a world in which the player's own choices help shape the tale. This shift from telling a story to enabling one is the defining challenge of narrative design in games.

The freedom that makes games distinctive also creates a tension. The more genuine control a player is given, the harder it becomes for designers to guarantee a satisfying dramatic shape. A story that can unfold in a thousand ways risks feeling shapeless, while one that funnels every player toward the same ending can make their choices feel like an illusion. Designers speak of this as the conflict between agency, the player's sense that their decisions matter, and authorship, the crafted arc that gives a story its emotional force.

Different games strike the balance differently. Some offer branching plots in which early decisions lead to genuinely distinct conclusions, at the cost of enormous extra writing that most players will never see. Others keep a fixed main storyline but let players colour it with optional side quests and small choices that alter tone rather than outcome. A few abandon authored plot almost entirely, scattering fragments of story through an environment for players to assemble in their own order and at their own pace.

None of these approaches is simply correct. Each trades away something to gain something else, and the right choice depends on what a particular game is trying to make its players feel. What unites them is the recognition that in an interactive medium, the player is never only an audience.

**The passage mentions all of the following as ways games handle storytelling EXCEPT:**",,260,,,,4,,offering branching plots whose early choices lead to genuinely distinct endings,keeping a fixed main story while adding optional side quests that alter tone,scattering fragments of story through a world for players to assemble,letting players rewrite the game's dialogue to suit their own preferences,,,VARC/reading-comprehension,0.5
