section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-RC1,1,mcsc,markdown,"For most of human history, the night sky was a shared inheritance: a band of stars visible to anyone who looked upward. That inheritance is quietly dissolving. The spread of electrified cities has scattered artificial light into the atmosphere, where dust and moisture scatter it further, producing a diffuse glow that astronomers call skyglow. Under this veil, the faint light of distant stars is simply drowned out. Surveys now suggest that a large share of people alive today have never seen the Milky Way from where they live, and that the brightness of the night sky over inhabited regions is rising by a few per cent each year.

The consequences reach well beyond stargazing. Many organisms time their behaviour by natural cycles of darkness. Migrating birds, which navigate partly by the stars, can be disoriented by illuminated buildings; insects exhaust themselves circling lamps; hatchling sea turtles, which instinctively crawl toward the brightest horizon, may turn inland toward roads instead of out to sea. In each case a cue that was reliable for millions of years has been overwritten by a human signal.

What makes light pollution unusual among environmental problems is how readily it can be reversed. Carbon dioxide lingers in the atmosphere for centuries; a poorly aimed streetlamp stops polluting the moment it is switched off or shielded. Lighting that points downward, that is no brighter than a task requires, and that is dimmed when no one is present can preserve both safety and darkness. The obstacle is not technical but a habit of mind that equates more light with more progress. Recovering the night sky, then, asks less for new invention than for a willingness to use, more thoughtfully, the light we already command.

**Which of the following best expresses the main idea of the passage?**",,120,,,,3,,Artificial light has now made it completely impossible for most people on Earth to see any stars at all from any of the places where they currently live and work.,"The disorientation of migrating birds, circling insects, and stranded sea turtles is now the single most urgent environmental crisis facing the entire planet.","Light pollution is a serious but unusually reversible problem, and addressing it depends more on changing our lighting habits than on inventing new technology.","Astronomers, rather than elected officials, should be given final authority over urban lighting decisions because they understand skyglow better than city planners.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,2,mcsc,markdown,"For most of human history, the night sky was a shared inheritance: a band of stars visible to anyone who looked upward. That inheritance is quietly dissolving. The spread of electrified cities has scattered artificial light into the atmosphere, where dust and moisture scatter it further, producing a diffuse glow that astronomers call skyglow. Under this veil, the faint light of distant stars is simply drowned out. Surveys now suggest that a large share of people alive today have never seen the Milky Way from where they live, and that the brightness of the night sky over inhabited regions is rising by a few per cent each year.

The consequences reach well beyond stargazing. Many organisms time their behaviour by natural cycles of darkness. Migrating birds, which navigate partly by the stars, can be disoriented by illuminated buildings; insects exhaust themselves circling lamps; hatchling sea turtles, which instinctively crawl toward the brightest horizon, may turn inland toward roads instead of out to sea. In each case a cue that was reliable for millions of years has been overwritten by a human signal.

What makes light pollution unusual among environmental problems is how readily it can be reversed. Carbon dioxide lingers in the atmosphere for centuries; a poorly aimed streetlamp stops polluting the moment it is switched off or shielded. Lighting that points downward, that is no brighter than a task requires, and that is dimmed when no one is present can preserve both safety and darkness. The obstacle is not technical but a habit of mind that equates more light with more progress. Recovering the night sky, then, asks less for new invention than for a willingness to use, more thoughtfully, the light we already command.

**According to the passage, the author makes all of the following claims EXCEPT:**",,110,,,,2,,Skyglow is produced partly because dust and moisture in the atmosphere scatter artificial light.,Reducing light pollution requires expensive new lighting technologies that have not yet been invented.,Some animals rely on natural darkness or starlight as a behavioural cue that artificial light can disrupt.,The brightness of the night sky over inhabited regions has been increasing year by year.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,3,mcsc,markdown,"For most of human history, the night sky was a shared inheritance: a band of stars visible to anyone who looked upward. That inheritance is quietly dissolving. The spread of electrified cities has scattered artificial light into the atmosphere, where dust and moisture scatter it further, producing a diffuse glow that astronomers call skyglow. Under this veil, the faint light of distant stars is simply drowned out. Surveys now suggest that a large share of people alive today have never seen the Milky Way from where they live, and that the brightness of the night sky over inhabited regions is rising by a few per cent each year.

The consequences reach well beyond stargazing. Many organisms time their behaviour by natural cycles of darkness. Migrating birds, which navigate partly by the stars, can be disoriented by illuminated buildings; insects exhaust themselves circling lamps; hatchling sea turtles, which instinctively crawl toward the brightest horizon, may turn inland toward roads instead of out to sea. In each case a cue that was reliable for millions of years has been overwritten by a human signal.

What makes light pollution unusual among environmental problems is how readily it can be reversed. Carbon dioxide lingers in the atmosphere for centuries; a poorly aimed streetlamp stops polluting the moment it is switched off or shielded. Lighting that points downward, that is no brighter than a task requires, and that is dimmed when no one is present can preserve both safety and darkness. The obstacle is not technical but a habit of mind that equates more light with more progress. Recovering the night sky, then, asks less for new invention than for a willingness to use, more thoughtfully, the light we already command.

**Why does the author contrast light pollution with carbon dioxide?**",,115,,,,4,,"To argue that carbon dioxide is, in the end, a far less serious threat to migrating wildlife than artificial light is.",To suggest that the two problems are caused by exactly the same kind of polluting industrial activity in modern cities.,To prove that most environmental problems generally cannot be solved at all without first achieving major scientific breakthroughs.,"To highlight that light pollution can be reversed almost at once, whereas carbon dioxide lingers for a very long time.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,4,mcsc,markdown,"For most of human history, the night sky was a shared inheritance: a band of stars visible to anyone who looked upward. That inheritance is quietly dissolving. The spread of electrified cities has scattered artificial light into the atmosphere, where dust and moisture scatter it further, producing a diffuse glow that astronomers call skyglow. Under this veil, the faint light of distant stars is simply drowned out. Surveys now suggest that a large share of people alive today have never seen the Milky Way from where they live, and that the brightness of the night sky over inhabited regions is rising by a few per cent each year.

The consequences reach well beyond stargazing. Many organisms time their behaviour by natural cycles of darkness. Migrating birds, which navigate partly by the stars, can be disoriented by illuminated buildings; insects exhaust themselves circling lamps; hatchling sea turtles, which instinctively crawl toward the brightest horizon, may turn inland toward roads instead of out to sea. In each case a cue that was reliable for millions of years has been overwritten by a human signal.

What makes light pollution unusual among environmental problems is how readily it can be reversed. Carbon dioxide lingers in the atmosphere for centuries; a poorly aimed streetlamp stops polluting the moment it is switched off or shielded. Lighting that points downward, that is no brighter than a task requires, and that is dimmed when no one is present can preserve both safety and darkness. The obstacle is not technical but a habit of mind that equates more light with more progress. Recovering the night sky, then, asks less for new invention than for a willingness to use, more thoughtfully, the light we already command.

**It can be inferred that the author would most likely agree with which of the following statements?**",,125,,,,1,,A community could cut its light pollution without sacrificing safety by aiming lamps downward and dimming them when no one is around.,"The loss of the visible Milky Way is, regrettably, an entirely unavoidable cost of building any modern, fully electrified society.",Cities ought to abandon their street lighting almost entirely in order to recover the lost visibility of the dark and starry night sky.,Concern about the fading night sky is mainly a private preoccupation of professional astronomers rather than a truly broad public issue.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,1,mcsc,markdown,"When a result in science is described as 'replicated,' it means that an independent team, following the same procedure, has obtained a similar finding. Replication is often called the gatekeeper of reliable knowledge, because a single study, however carefully done, can be misled by chance, by an unusual sample, or by an undetected flaw in its design. Only when a result reappears under different hands does the community gain confidence that it reflects something real rather than an accident of one laboratory.

In recent years, however, attempts to repeat well-known studies have frequently failed to reproduce the original effects. Several factors contribute. Researchers face strong incentives to publish striking, novel results, while careful repetitions of someone else's work attract little reward and are seldom published. Small samples can yield impressive-looking outcomes that vanish when the study is enlarged. And the freedom to analyse data in many ways allows a researcher, even unintentionally, to keep adjusting the analysis until a pattern emerges.

None of this means that science is broken. The very fact that the failures are being documented is itself a product of the scientific method turning its scrutiny on its own practices. Reforms are already spreading: some journals now invite researchers to register their hypotheses and planned analyses before collecting data, and commit to publishing the results whether or not they are striking. Others reserve space specifically for replication studies. What looks at first like a crisis of confidence may be better understood as a discipline learning, in public, to hold itself to its own standards.

**Which of the following best states the central argument of the passage?**",,120,,,,2,,Scientific journals are the primary cause of unreliable published findings and therefore should no longer be trusted at all by readers.,"Although many well-known studies have failed to replicate, this reflects science correcting itself rather than a breakdown of the method.","Small samples are, on their own, the single underlying reason that so many famous studies have proven difficult to reproduce reliably.",Replication is essentially impossible in actual practice because no two separate laboratories ever follow exactly the same detailed procedure.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,2,mcsc,markdown,"When a result in science is described as 'replicated,' it means that an independent team, following the same procedure, has obtained a similar finding. Replication is often called the gatekeeper of reliable knowledge, because a single study, however carefully done, can be misled by chance, by an unusual sample, or by an undetected flaw in its design. Only when a result reappears under different hands does the community gain confidence that it reflects something real rather than an accident of one laboratory.

In recent years, however, attempts to repeat well-known studies have frequently failed to reproduce the original effects. Several factors contribute. Researchers face strong incentives to publish striking, novel results, while careful repetitions of someone else's work attract little reward and are seldom published. Small samples can yield impressive-looking outcomes that vanish when the study is enlarged. And the freedom to analyse data in many ways allows a researcher, even unintentionally, to keep adjusting the analysis until a pattern emerges.

None of this means that science is broken. The very fact that the failures are being documented is itself a product of the scientific method turning its scrutiny on its own practices. Reforms are already spreading: some journals now invite researchers to register their hypotheses and planned analyses before collecting data, and commit to publishing the results whether or not they are striking. Others reserve space specifically for replication studies. What looks at first like a crisis of confidence may be better understood as a discipline learning, in public, to hold itself to its own standards.

**The author identifies all of the following as factors contributing to replication failures EXCEPT:**",,110,,,,2,,The freedom to analyse data in many ways until a pattern happens to appear.,A deliberate effort by most researchers to fabricate data in order to deceive their peers.,Incentives that reward novel findings while offering little reward for repeating others' work.,Small samples that can produce striking results which disappear when the study is enlarged.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,3,mcsc,markdown,"When a result in science is described as 'replicated,' it means that an independent team, following the same procedure, has obtained a similar finding. Replication is often called the gatekeeper of reliable knowledge, because a single study, however carefully done, can be misled by chance, by an unusual sample, or by an undetected flaw in its design. Only when a result reappears under different hands does the community gain confidence that it reflects something real rather than an accident of one laboratory.

In recent years, however, attempts to repeat well-known studies have frequently failed to reproduce the original effects. Several factors contribute. Researchers face strong incentives to publish striking, novel results, while careful repetitions of someone else's work attract little reward and are seldom published. Small samples can yield impressive-looking outcomes that vanish when the study is enlarged. And the freedom to analyse data in many ways allows a researcher, even unintentionally, to keep adjusting the analysis until a pattern emerges.

None of this means that science is broken. The very fact that the failures are being documented is itself a product of the scientific method turning its scrutiny on its own practices. Reforms are already spreading: some journals now invite researchers to register their hypotheses and planned analyses before collecting data, and commit to publishing the results whether or not they are striking. Others reserve space specifically for replication studies. What looks at first like a crisis of confidence may be better understood as a discipline learning, in public, to hold itself to its own standards.

**What is the main purpose of registering hypotheses and planned analyses before collecting data, as described in the passage?**",,120,,,,4,,To guarantee that each and every registered study will reliably end up producing some kind of novel and publishable finding.,"To replace careful replication studies entirely, so that any repetition of other people's earlier work is no longer needed at all.","To allow researchers to choose freely, after they have seen the data, which analysis presents their results most favourably.","To limit the freedom to adjust the analysis until a desired pattern appears, and to ensure results are reported either way.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,4,mcsc,markdown,"When a result in science is described as 'replicated,' it means that an independent team, following the same procedure, has obtained a similar finding. Replication is often called the gatekeeper of reliable knowledge, because a single study, however carefully done, can be misled by chance, by an unusual sample, or by an undetected flaw in its design. Only when a result reappears under different hands does the community gain confidence that it reflects something real rather than an accident of one laboratory.

In recent years, however, attempts to repeat well-known studies have frequently failed to reproduce the original effects. Several factors contribute. Researchers face strong incentives to publish striking, novel results, while careful repetitions of someone else's work attract little reward and are seldom published. Small samples can yield impressive-looking outcomes that vanish when the study is enlarged. And the freedom to analyse data in many ways allows a researcher, even unintentionally, to keep adjusting the analysis until a pattern emerges.

None of this means that science is broken. The very fact that the failures are being documented is itself a product of the scientific method turning its scrutiny on its own practices. Reforms are already spreading: some journals now invite researchers to register their hypotheses and planned analyses before collecting data, and commit to publishing the results whether or not they are striking. Others reserve space specifically for replication studies. What looks at first like a crisis of confidence may be better understood as a discipline learning, in public, to hold itself to its own standards.

**It can be inferred from the passage that the author regards the documentation of replication failures as:**",,118,,,,4,,"definite proof that most published scientific results will, sooner or later, be shown to be entirely false.",an unfortunate and costly distraction that needlessly diverts attention away from producing genuinely novel discoveries.,a serious problem that can only ever be solved by abandoning the basic requirement of replication altogether.,evidence that science is applying its own critical methods to itself rather than a sign of fundamental decay.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC3,1,mcsc,markdown,"A city map is never a perfect copy of the city it represents. If it were, it would have to be exactly as large and as complicated as the city itself, and so would be useless to a traveller. The value of a map lies precisely in what it leaves out. By dropping countless details and keeping only roads, rivers, and a few landmarks, a map becomes small enough to hold in the hand and clear enough to guide a journey.

The same principle applies to scientific models. A model of the weather, or of a population of animals, does not try to capture every raindrop or every individual creature. Instead it keeps the features that matter for the question being asked and ignores the rest. A model built to predict tomorrow's temperature can safely leave out the colour of people's umbrellas; a model of how a disease spreads can ignore the brand of car that infected people drive. Choosing what to leave out is not a weakness of a model but the very thing that makes it useful.

This has a practical lesson. When we judge a model, the right question is not 'Is it complete?' but 'Is it useful for its purpose?' A simple model that answers the question at hand may be far more valuable than an elaborate one that tries to include everything and so becomes impossible to understand. As one saying among scientists puts it, all models are wrong, but some are useful. Wisdom lies in matching the simplicity of the model to the job it must do.

**Which of the following best captures the main idea of the passage?**",,95,,,,3,,Scientific models should always try to include as much fine-grained detail as they possibly can in order to be truly accurate.,"Maps are, in the end, far more reliable guides to a city than scientific models can ever be to the natural world.","A good model, much like a good map, is valuable precisely because it leaves out details that do not matter for its purpose.",The colour of people's umbrellas and the brand of a car are in fact important variables in both weather and disease models.,,,VARC/reading-comprehension,0
VARC,VARC-RC3,2,mcsc,markdown,"A city map is never a perfect copy of the city it represents. If it were, it would have to be exactly as large and as complicated as the city itself, and so would be useless to a traveller. The value of a map lies precisely in what it leaves out. By dropping countless details and keeping only roads, rivers, and a few landmarks, a map becomes small enough to hold in the hand and clear enough to guide a journey.

The same principle applies to scientific models. A model of the weather, or of a population of animals, does not try to capture every raindrop or every individual creature. Instead it keeps the features that matter for the question being asked and ignores the rest. A model built to predict tomorrow's temperature can safely leave out the colour of people's umbrellas; a model of how a disease spreads can ignore the brand of car that infected people drive. Choosing what to leave out is not a weakness of a model but the very thing that makes it useful.

This has a practical lesson. When we judge a model, the right question is not 'Is it complete?' but 'Is it useful for its purpose?' A simple model that answers the question at hand may be far more valuable than an elaborate one that tries to include everything and so becomes impossible to understand. As one saying among scientists puts it, all models are wrong, but some are useful. Wisdom lies in matching the simplicity of the model to the job it must do.

**Why does the author say that a perfectly complete map would be useless?**",,92,,,,2,,Because maps are always rather less accurate than the kind of scientific models that are discussed later on in the passage.,"Because it would have to be as large and as complicated as the city itself, and so could not guide a traveller.",Because real cities change far too quickly for any printed map of them to remain fully correct for very long.,"Because no ordinary traveller is ever genuinely interested in the roads, the rivers, or the landmarks of a city.",,,VARC/reading-comprehension,0
