questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,text,Which statement best describes generative AI?,,50,,,,4,,AI that only sorts inputs into predefined fixed categories,AI that ranks web pages purely by their inbound link counts,AI that stores and retrieves records from a company database,"AI that creates new content such as text, images, or audio",,AgenticAI/generative-ai,0
mcsc,text,What does the abbreviation LLM stand for in AI?,,50,,,,1,,Large Language Model,Linear Logic Method,Layered Learning Machine,Long Latency Memory,,AgenticAI/llm,0
mcsc,text,"In language models, tokenization is the process of doing what to text?",,50,,,,2,,Converting the text from one human language to another,Breaking text into smaller units the model reads,Encrypting the text so that only the model can decode it,Compressing the text file to save storage space on disk,,AgenticAI/tokenization,0
mcsc,text,"In the context of LLMs, what is a prompt?",,50,,,,4,,The internal numeric weights the model has learned,The hardware chip that runs the model's computations,The dataset originally used to train the model itself,The input text or instruction given to the model,,AgenticAI/prompt,0
mcsc,text,What best describes a foundation model?,,50,,,,4,,A model designed solely to store user login details,A model that runs entirely without any training data,A small model built to solve only one narrow task,A model pretrained on broad data for many tasks,,AgenticAI/foundation-model,0
mcsc,text,"In LLMs, the term hallucination refers to when the model does what?",,50,,,,2,,Refuses to answer a question because of its safety filters,Produces false or fabricated information as if true,Processes images instead of the usual plain text input,Runs much slower than expected during heavy server load,,AgenticAI/hallucination,0
mcsc,text,"In text generation, raising the temperature setting generally makes the output more what?",,50,,,,3,,Quick to compute,Repetitive and fixed,Random and varied,Short in length,,AgenticAI/temperature,0
mcsc,text,The context window of an LLM refers to what?,,50,,,,4,,The screen area where the chat is shown to the users,The number of users allowed to query the model at once,The time period the model spent being trained on data,The amount of text the model can consider at once,,AgenticAI/context-window,0
mcsc,text,"In machine learning, an embedding is best described as what?",,50,,,,1,,A numeric vector representation of data like text,A printed copy of the model's training documents,A backup file that stores past user conversations,A rule written by hand to filter out unwanted inputs,,AgenticAI/embeddings,0
mcsc,text,Giving an LLM a few worked examples inside the prompt before asking it to do a task is called what?,,50,,,,2,,Zero-shot prompting,Few-shot prompting,Fine-tuning the model,Batch inference,,AgenticAI/few-shot,0
mcsc,text,"In agentic AI, which statement best describes an AI agent?",,50,,,,3,,A spreadsheet macro that formats numbers inside cells,A single image classifier with no ability to act,A system that plans and takes actions to reach a goal,A static table of questions paired with fixed answers,,AgenticAI/ai-agent,0
mcsc,text,"In AI, retrieval-augmented generation (RAG) means the model does what?",,50,,,,4,,Generates replies using only its fixed internal knowledge,Randomly guesses answers whenever it is unsure of the facts,Is retrained from scratch each time a user asks something,Fetches relevant external documents to inform its answer,,AgenticAI/rag,0
mcsc,text,Fine-tuning a pretrained model means doing what?,,50,,,,4,,Running the model to produce answers for the end users,Building a brand new model from random initial weights,Deleting part of the model just to make it smaller in size,Training it further on a narrower task-specific dataset,,AgenticAI/fine-tuning,0
mcsc,text,Using an already-trained model to produce outputs for new inputs is called what?,,50,,,,2,,Backpropagation,Inference,Tokenization,Training,,AgenticAI/inference,0
mcsc,text,A multimodal AI model is one that can do what?,,50,,,,2,,Be trained by several different teams at the same time,Work with several input types like text and images,Operate only on plain unformatted text input alone,Run across many computers linked into a cluster,,AgenticAI/multimodal,0
mcsc,text,"In a neural network, the parameters (weights) are best described as what?",,50,,,,1,,The values learned during training that shape outputs,The physical memory chips installed inside the computer,The settings a user picks before starting a chat session,The raw text prompts typed in by the end user each time,,AgenticAI/parameters,0
mcsc,text,"Compared with a simple chatbot, an AI agent is better described as one that does what?",,50,,,,1,,Can take actions and use tools to complete tasks,Stores far more chat history than a chatbot is able to,Only replies with text and never performs any action,Always responds faster than any chatbot ever could,,AgenticAI/chatbot-vs-agent,0
mcsc,text,"Tool calling, also known as function calling, lets an LLM do what?",,50,,,,2,,Write its own brand new source code and deploy it alone,Call external functions to act or fetch live data,Increase the number of parameters it has while running,Translate its answers into any spoken human language,,AgenticAI/tool-calling,0
mcsc,text,A system prompt in a chat model is typically used to do what?,,50,,,,3,,Measure how fast the model responds to each request,Count the total number of tokens used in a session,Set the assistant's overall behavior and rules,Store the entire history of every past conversation,,AgenticAI/system-prompt,0
mcsc,text,"In an LLM interaction, the text the model generates in response to the prompt is called the what?",,50,,,,4,,Embedding,Checkpoint,Parameter,Completion,,AgenticAI/completion,0
